,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,195.39749224137933,194.826912,195.9240105,N/A,N/A,N/A,194.7519,195.94245,0.2819868173479872,N/A,N/A,N/A,N/A,N/A,N/A
1,-10,4.3,195.39695238095234,194.63331,195.9321,PASS,PASS,PASS,194.5461,195.97315,0.3176282538110369,0.00027628830891848814,0.10567290999472181,-0.015667865743230196,0.09937128193049556,-0.004128896697928079,-12.63939811025499
2,-9,5.3,195.39971904761907,194.79968000000002,195.87818000000001,PASS,PASS,PASS,194.77735,195.90975,0.2693658764005672,-0.0011396288735356025,-0.013067908451730849,0.016688573609243685,0.013977535095341194,0.023391977268653292,4.475720200723096
3,-8,6.3,195.44071190476188,195.01346,195.76303000000001,PASS,PASS,PASS,195.0033,195.77015,0.21419687842307722,-0.02211884241030485,-0.12908731570782603,0.08793398265664587,-0.09575063223299261,0.08216476356785976,24.040109237182346
4,-7,7.3,195.39733333333334,194.83134,195.72948,PASS,PASS,PASS,194.76675,195.7428,0.23068733782618722,8.132552990654e-05,-0.0076250860710450515,0.10189216272432015,-0.0022727866261199724,0.09928874950220216,18.19215522351657
