,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,96.3827379310345,96.1958855,96.58397550000001,N/A,N/A,N/A,96.16445,96.59415,0.1054974778572493,N/A,N/A,N/A,N/A,N/A,N/A
1,-10,4.3,174.07946666666666,166.00103,186.19214,FAIL,PASS,FAIL,165.9243,187.8224,5.0996911587941565,-80.61270140637332,-72.54224404132711,-94.44490168400466,-72.5656239216177,-92.77746545025988,-4733.946045321242
2,-9,5.3,223.1046404761905,217.79345,230.46505000000002,FAIL,PASS,FAIL,217.64125,230.83975000000004,3.280728941509004,-131.47779910115267,-126.32194121632267,-138.97901684522304,-126.40620112593068,-138.61623919176944,-3009.7700230788664
3,-8,6.3,270.7587738095238,260.06398,282.15023,FAIL,PASS,FAIL,259.60445,282.2696,5.9506233439157254,-180.92040091583823,-169.95885693725697,-192.2222515545714,-170.3483404183644,-192.12944335678125,-5540.536119704804
4,-7,7.3,322.60530714285716,311.79808999999995,331.69471000000004,FAIL,PASS,FAIL,311.62634999999995,331.72245000000004,5.824437013035803,-234.71274428175454,-224.05566714102764,-243.41877846639784,-224.1283017245056,-243.42623430322558,-5420.925363653681
