,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,499.3584482758621,498.97298,499.7278,N/A,N/A,N/A,498.965,499.7335,0.2365039721793794,N/A,N/A,N/A,N/A,N/A,N/A
1,-10,4.3,719.3926984126983,706.2586666666666,731.1659999999999,FAIL,PASS,FAIL,705.5533333333332,731.2666666666665,7.353753510135544,-44.06338791234029,-41.403371645973806,-46.3313279311206,-41.54246722270745,-46.31285271701913,-3009.357294243666
2,-9,5.3,767.9909523809524,746.496,784.8786666666665,FAIL,PASS,FAIL,744.9966666666667,785.8533333333331,10.122589377935226,-53.79552604598948,-49.308401724903895,-57.25448330626887,-49.606497730598555,-57.06123747101252,-4180.092754745625
3,-8,6.3,953.8309523809525,827.0093333333332,979.3000000000001,FAIL,PASS,FAIL,796.6766666666665,980.2266666666668,37.07371449997154,-91.0112777052737,-59.665841625498096,-96.14988122002363,-65.74230799698476,-95.96668426291274,-15575.725933200189
4,-7,7.3,960.5176190476192,948.0279999999999,982.4540000000001,FAIL,PASS,FAIL,947.9199999999998,983.6833333333334,11.277220113665562,-92.35032918017191,-89.97725291353099,-96.84158323052856,-89.99585909441427,-96.59782785748563,-4668.30051087354
