,freq,alt,fail,mean,1stptile,99thptile,lastgood,limit
0,3930.0,20.0,4.3,*,,*,3.3,N/A
1,3930.0,50.0,4.3,*,,*,3.3,N/A
2,3930.0,100.0,4.3,*,,*,3.3,N/A
3,3930.0,200.0,4.3,*,,*,3.3,N/A
4,3930.0,500.0,4.3,*,,*,3.3,N/A
5,3930.0,1000.0,4.3,*,,*,3.3,N/A
6,3930.0,2000.0,4.3,*,*,,3.3,N/A
7,3930.0,2500.0,4.3,*,*,,3.3,N/A
8,3870.0,20.0,4.3,*,,*,3.3,N/A
9,3870.0,50.0,6.3,*,,,5.3,N/A
10,3870.0,100.0,NF,,,,7.3,N/A
11,3870.0,200.0,NF,,,,7.3,N/A
12,3870.0,500.0,7.3,*,,,6.3,N/A
13,3870.0,1000.0,4.3,*,,,3.3,N/A
14,3870.0,2000.0,4.3,*,,,3.3,N/A
15,3870.0,2500.0,4.3,*,*,,3.3,N/A
