,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,1989.4491954022988,1985.9736333333333,1993.425733333333,N/A,N/A,N/A,1985.9033333333336,1993.623333333333,1.8627905987923363,N/A,N/A,N/A,N/A,N/A,N/A
1,-35,-17.2,1989.553015873016,1985.7413333333334,1992.4913333333334,PASS,PASS,PASS,1985.17,1992.5666666666668,1.6563939764715017,-0.005218553505017539,0.036926940049125036,0.053002322404574614,0.011697033439965388,0.04687408135527437,11.07996907728885
2,-34,-16.2,1989.69873015873,1985.4166666666667,1996.2133333333334,PASS,PASS,PASS,1985.1866666666667,1996.51,3.1883505795300553,-0.012542906700408132,0.036087691411645965,-0.14479498802015414,0.028045018187462335,-0.13983967164600694,-71.15990286815337
3,-33,-15.2,1989.4399999999998,1986.8299999999995,1992.7059999999997,PASS,PASS,PASS,1986.6933333333327,1992.7966666666664,1.6721416739552482,0.0004622084504685729,-0.039780385416496644,0.04146553929444698,-0.043120747037755584,0.03610534976539308,10.234587020177553
4,-32,-14.2,1989.3111111111107,1986.1026666666667,1991.441333333333,PASS,PASS,PASS,1985.97,1991.4433333333332,1.8429895198753614,0.006940830231161354,-0.003356994549904845,0.10934863991358297,-0.006497232952524528,0.09954722500154596,1.0629793241286556
5,-31,-13.2,1989.1244444444442,1984.8779999999995,1993.254,PASS,PASS,PASS,1984.6733333333327,1993.2733333333333,3.209716902250534,0.016323661775585384,0.061936549446058684,0.017555974298037666,0.0551685739903231,0.0086149852719096,-72.30690901765459
6,-30,-12.2,1989.252857142857,1986.244,1992.1200000000001,PASS,PASS,PASS,1986.24,1992.256666666667,1.633165734841515,0.009868975789655315,-0.016952822477077287,0.06855189963999081,-0.013613809475045174,0.06550198040985006,12.326928431982061
7,-29,-11.2,1989.7342857142855,1985.612,1994.2326666666663,PASS,PASS,PASS,1985.48,1994.4066666666663,2.696295430330096,-0.014330112708866043,0.021316915392002818,-0.0392919424765947,0.018209372333217896,-0.040479728932964386,-44.744955878461504
8,-28,-10.2,1990.6577777777773,1985.912,1995.6013333333335,PASS,PASS,PASS,1985.8266666666668,1995.6366666666668,3.206709863418944,-0.06074959733938342,0.003860543732415188,-0.10098865215263546,0.0031034316014457853,-0.10913875363505657,-72.14548245508016
9,-27,-9.2,1994.8371428571427,1992.464,1996.4473333333328,PASS,PASS,PASS,1992.3333333333333,1996.473333333333,1.229514486704309,-0.27082608931636454,-0.3237821243397014,-0.14295579071271786,-0.3268103139805025,-0.15157825794428767,33.996097709457295
10,-26,-8.2,2002.7620634920631,1998.3386666666665,2007.8006666666665,FAIL,PASS,PASS,1998.32,2008.0833333333333,2.6217961350084606,-0.6691735642473796,-0.6252402349224594,-0.7253125381424576,-0.6226182022658235,-0.72111707463996,-40.745617715066544
11,-25,-7.2,2015.6557142857146,2011.563333333333,2020.8873333333333,FAIL,PASS,PASS,2011.563333333333,2021.02,3.0659200436876235,-1.3172751002629364,-1.2921072022639268,-1.3742147881495663,-1.2885216384796128,-1.377608382434195,-64.58747674995175
12,-24,-6.2,2027.7092063492064,2020.3786666666663,2032.7140000000002,FAIL,PASS,FAIL,2019.8633333333328,2032.88,3.223298673505846,-1.9231459157302506,-1.7100530237288716,-1.9691115172207614,-1.732401314693503,-1.970891917852929,-73.03601787530704
13,-23,-5.2,2039.0,2033.4206666666666,2044.386,FAIL,PASS,FAIL,2033.3433333333332,2044.5566666666668,3.4894741724219442,-2.490679566596385,-2.388837321722588,-2.554812259754878,-2.3891069114395274,-2.556416615604388,-87.32509036089195
14,-22,-4.2,2037.3507936507938,2029.3746666666664,2044.9033333333332,FAIL,PASS,FAIL,2029.0233333333329,2045.4766666666665,4.000200398419273,-2.4077819307573995,-2.1713040748877943,-2.600959392195457,-2.1853781241036496,-2.582368589870726,-114.74235488479695
15,-21,-3.2,2013.4125396825398,2004.6893333333333,2024.3106666666663,FAIL,PASS,PASS,2004.4233333333332,2024.9066666666663,5.802688543996168,-1.2045215497646946,-0.9325730859675709,-1.5691697027355538,-0.942394183178899,-1.5493395523538576,-211.50514436556116
16,-20,-2.2,1961.2206349206344,1937.237333333333,1986.8699999999994,FAIL,FAIL,PASS,1936.2333333333331,1987.1333333333328,15.661085588136583,1.4189133628997268,2.5011287894174368,0.32553792341249205,2.4540255309532686,0.32886769864113957,-740.732479447223
17,-19,-1.2,1895.6987301587305,1852.12,1927.623333333333,FAIL,FAIL,PASS,1851.7266666666667,1928.8766666666663,22.576274086753358,4.712382978174537,6.756455080895189,3.2476880453847023,6.739950172886655,3.300970730921973,-1111.9598467691299
18,-18,-0.2,1807.3136507936506,1777.2206666666666,1840.8306666666667,FAIL,FAIL,PASS,1776.4666666666667,1841.3366666666668,20.0236403035335,9.155073928480864,10.54616622829914,7.638688016960719,10.511366473495814,7.654916063088161,-974.9270646155828
19,-17,0.8,1752.5339682539682,1715.2939999999999,1791.722,FAIL,FAIL,PASS,1713.8066666666666,1794.6833333333334,23.8392242514318,11.908583928448724,13.701405405768341,9.978815791013664,13.62956832810587,10.11844735223978,-1179.758673191017
20,-16,1.8,1685.7025396825393,1662.2373333333333,1703.1566666666663,FAIL,FAIL,PASS,1661.1166666666666,1703.5999999999997,12.604378776386499,15.267876979303157,16.3546060482971,14.547549102388116,16.301137868413125,14.5613183281872,-576.6395956989492
21,-15,2.8,1593.6134920634922,1576.0113333333331,1623.9526666666666,FAIL,FAIL,PASS,1575.8199999999997,1624.9733333333331,14.486605364043896,19.896748519821443,20.649712725191417,18.491456928507052,20.64288735353973,18.534578965670683,-677.6829759306113
