,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,1992.3877586206895,1988.6790666666664,1995.240033333333,N/A,N/A,N/A,1988.4966666666664,1995.443333333333,1.9418910607912632,N/A,N/A,N/A,N/A,N/A,N/A
1,-25,-10.7,1992.3142857142857,1988.8739999999998,1995.1346666666666,PASS,PASS,PASS,1988.873333333333,1995.18,2.032156255709424,0.0036876810794444228,-0.018942283031228857,0.013196733223838304,-0.00980215141803531,0.005280901791570971,-4.648314045041248
2,-24,-9.7,1992.5176190476184,1989.1580000000001,1995.6013333333333,PASS,PASS,PASS,1989.1266666666668,1995.7733333333333,2.07739209984731,-0.006517828990214876,-0.03168222560093152,-0.016537678343845834,-0.024082987615318806,-0.018108096968997386,-6.977787878627664
3,-23,-8.7,1992.408253968254,1989.537333333333,1994.8693333333329,PASS,PASS,PASS,1989.463333333333,1994.9333333333327,1.5156207452348334,-0.00102868266861409,-0.04861293875271619,0.025558230167743095,-0.043157625634648554,0.018579218229741644,21.9512991312055
4,-22,-7.7,1992.078095238095,1988.8,1995.0353333333333,PASS,PASS,PASS,1988.76,1995.1633333333332,1.9415144636850994,0.015542325094829187,-0.013242835039546555,0.014031969503840185,-0.006081088465234323,0.010259417242034514,0.019393317872853606
5,-21,-6.7,1991.5141269841272,1988.402,1994.0773333333332,PASS,PASS,PASS,1988.3033333333333,1994.11,1.891437696792172,0.04384847441379228,0.009722587750536377,0.06681890239928456,0.013932196064733624,0.05827369041194521,2.5981562517998777
6,-20,-5.7,1991.2215873015866,1987.7493333333334,1994.308,PASS,PASS,PASS,1987.68,1994.48,2.0534609319248527,0.05853134331191714,0.04106955170487481,0.04827665698347295,0.0467513008467128,0.04671284245314302,-5.745423797776179
7,-19,-4.7,1990.0803174603175,1986.848666666667,1993.1926666666668,PASS,PASS,PASS,1986.716666666667,1993.2866666666669,1.8430665583815522,0.11581285572490445,0.08951485963430589,0.10807957463083741,0.09204099498404263,0.10261254949089024,5.089085809450243
8,-18,-3.7,1989.0782539682539,1985.0979999999997,1992.005333333333,PASS,PASS,PASS,1985.0466666666664,1992.1366666666663,2.0546323323563715,0.1661074576530611,0.1734979021002489,0.16571087795026082,0.18007262844421904,0.16212084490886783,-5.805746462377228
9,-17,-2.7,1987.4769841269836,1983.3853333333332,1990.455333333333,PASS,PASS,PASS,1983.3133333333333,1990.623333333333,2.069894765108699,0.24647684530573702,0.2606659302085747,0.2415503321734654,0.2661934457934587,0.2398057336493197,-6.59170366978662
10,-16,-1.7,1984.9346031746031,1980.1293333333333,1988.9486666666667,PASS,PASS,PASS,1980.06,1988.99,2.585263897165903,0.3740815719148029,0.4242736137349906,0.32340348761259013,0.42992021571704514,0.31531878679056663,-33.131252796049466
11,-15,-0.7,1981.614603174603,1975.9266666666667,1987.2006666666666,FAIL,PASS,PASS,1975.92,1987.24,3.439093949831486,0.5407158019051822,0.6324710962552802,0.4111032970116711,0.6412497729648565,0.40292729357657797,-77.10025136168849
12,-14,0.3,1976.61,1968.3733333333332,1987.7913333333333,FAIL,PASS,PASS,1968.2333333333331,1988.02,5.740948334358864,0.7919020056423353,1.0190277747511096,0.37201423910808207,1.0210663788686973,0.3733235037167721,-195.63699273735762
13,-13,1.3,1962.306825396825,1952.963333333333,1974.1253333333332,FAIL,PASS,PASS,1952.4933333333329,1974.5466666666664,6.110046687964087,1.5097931160091704,1.8105805223041307,1.0472192478530187,1.795952596473927,1.0582536259922943,-214.64415338903842
14,-12,2.3,1931.9687301587296,1917.0426666666665,1949.0073333333332,FAIL,FAIL,PASS,1916.9866666666665,1949.79,9.765876502518022,3.0324934591942783,3.5961840519387342,2.287879218152005,3.6022101907108395,2.3171497778521153,-402.90547702190446
15,-11,3.3,1890.6215873015874,1870.8846666666661,1911.6446666666664,FAIL,FAIL,PASS,1870.8333333333328,1911.713333333333,12.351616746134335,5.107749276152642,5.917200431146494,4.196060023420027,5.923248349842685,4.189739844333851,-536.0612598474713
