,freq,alt,fail,mean,1stptile,99thptile,lastgood,limit
0,3930.0,20.0,-1.2,*,,*,-2.2,N/A
1,3930.0,50.0,3.8,*,,,2.8,N/A
2,3930.0,100.0,NF,,,,5.8,N/A
3,3930.0,200.0,NF,,,,5.8,N/A
4,3930.0,500.0,4.8,*,,,3.8,N/A
5,3930.0,1000.0,3.8,*,,,2.8,N/A
6,3930.0,2000.0,1.8,*,,,0.8,N/A
7,3930.0,2500.0,-1.2,*,,,-2.2,N/A
8,3870.0,20.0,NF,,,,5.8,N/A
9,3870.0,50.0,NF,,,,5.8,N/A
10,3870.0,100.0,NF,,,,5.8,N/A
11,3870.0,200.0,NF,,,,5.8,N/A
12,3870.0,500.0,NF,,,,5.8,N/A
13,3870.0,1000.0,NF,,,,5.8,N/A
14,3870.0,2000.0,NF,,,,5.8,N/A
15,3870.0,2500.0,NF,,,,5.8,N/A
