,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,998.9429310344826,996.833233333333,1000.5357333333335,N/A,N/A,N/A,996.7933333333332,1000.5433333333336,1.132046926886415,N/A,N/A,N/A,N/A,N/A,N/A
1,-25,-10.7,998.9336507936508,996.7926666666665,1000.2439999999998,PASS,PASS,PASS,996.6466666666664,1000.2633333333332,1.0979799151987946,0.0009290061067041077,0.01471384907604659,0.027984794928131784,0.004069553994594667,0.02915771257481947,3.0093285780403556
2,-24,-9.7,999.046825396825,996.8613333333329,1000.3900000000001,PASS,PASS,PASS,996.8499999999996,1000.4366666666668,1.1361687453849447,-0.010400430206242069,-0.005684896233895468,0.010660874258332672,-0.0028189268836791284,0.014565530093350952,-0.36410314807941063
3,-23,-8.7,998.6371428571427,996.8453333333331,1000.4286666666665,PASS,PASS,PASS,996.7866666666664,1000.4599999999998,1.161261902565125,0.030611175857985232,0.0006688113216488498,0.008328808014361458,-0.0012138439605961706,0.010700933819758727,-2.5807212567647566
4,-22,-7.7,998.9236507936506,996.6086666666664,1000.3406666666664,PASS,PASS,PASS,996.5666666666664,1000.353333333333,1.25477882281294,0.001930064294268687,0.022739584935707328,0.018989682272694132,0.02252800761023116,0.01949622189077073,-10.841590839709006
5,-21,-6.7,998.8596825396824,996.7693333333332,1000.4240000000002,PASS,PASS,PASS,996.7633333333332,1000.4366666666668,1.2294989515886712,0.00833365873204215,0.0030096509473685,0.010660874258332672,0.006410299924110605,0.011167350611361555,-8.608479241252695
6,-20,-5.7,998.7279365079365,997.0033333333333,1000.7826666666665,PASS,PASS,PASS,996.98,1000.8633333333332,1.2786483645677058,0.021522203107583876,-0.018726717005882663,-0.03198262277491848,-0.017064037826214302,-0.024680111374966462,-12.950120193736467
7,-19,-4.7,999.0690476190475,996.9386666666667,1000.5833333333334,PASS,PASS,PASS,996.8866666666668,1000.5933333333334,1.1958061636203343,-0.012625003956361552,-0.00936335850295844,-0.004997284808560063,-0.01057682767869414,-0.004757451274757888,-5.632207925274161
8,-18,-3.7,998.6198412698411,996.9553333333333,1000.3373333333329,PASS,PASS,PASS,996.9333333333334,1000.3499999999996,1.1830767215613764,0.03234316542056355,-0.01404503775442055,0.01932283459327768,-0.012248789056919809,0.019829376741956187,-4.5077455238815825
9,-17,-2.7,998.7426984126984,996.4173333333334,1000.1546666666665,PASS,PASS,PASS,996.3866666666668,1000.1766666666664,1.1530701140132236,0.020044450545028646,0.04079749061989552,0.03664675526303134,0.041722124232243606,0.03808626258629429,-1.8570950220792293
10,-16,-1.7,998.7720634920634,996.6446666666667,1000.4726666666668,PASS,PASS,PASS,996.61,1000.5166666666668,1.2884256009179038,0.017104835232411807,0.01839231134502972,0.002665218564600212,0.01891657103323178,0.006303289784224321,-13.813797848609783
11,-15,-0.7,999.5930158730162,997.482,1001.11,PASS,PASS,PASS,997.4,1001.1233333333334,1.2317011293157183,-0.06507727502113832,-0.060861830269075885,-0.05796850377959442,-0.06508276860889661,-0.05739591776031026,-8.803009845483386
12,-14,0.3,1002.7149206349206,1000.6073333333331,1004.2246666666665,PASS,PASS,PASS,1000.5866666666664,1004.2433333333332,1.1158129169392323,-0.37759810728445037,-0.3805536420120367,-0.3697990758354217,-0.37860896625404344,-0.36869581069765,1.434040370732049
13,-13,1.3,1008.6676190476189,1005.707333333333,1010.8019999999997,FAIL,PASS,PASS,1005.5899999999996,1010.8466666666664,1.469885537061833,-0.9734978556848723,-0.8824965389013836,-1.0297738228895013,-0.8902291479915548,-1.0260769630349549,-29.843163048426806
14,-12,2.3,1019.8084126984124,1015.5579999999999,1022.7113333333334,FAIL,PASS,FAIL,1015.3633333333332,1022.7266666666668,2.082430369396859,-2.088756125669961,-1.862973936422801,-2.217128693409897,-1.87842520097897,-2.216372615310882,-83.95265425298058
15,-11,3.3,1034.956984126984,1030.1506666666664,1039.1299999999997,FAIL,PASS,FAIL,1029.9866666666665,1039.2966666666664,2.760115115305048,-3.605216271484705,-3.3300115704358584,-3.8732288789756986,-3.3423277052995584,-3.857360150255452,-143.81631624551784
