,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,49.71971810344827,49.56148300000001,49.877243,N/A,N/A,N/A,49.54900000000001,49.877300000000005,0.07359964763113874,N/A,N/A,N/A,N/A,N/A,N/A
1,-25,-7.2,49.71273571428571,49.629670000000004,49.80551,PASS,PASS,PASS,49.621750000000006,49.8073,0.04449171873185211,0.014043501107625417,-0.1468243556883069,0.1403444051703027,-0.13758062889279293,0.1438190960153949,39.549005784874936
2,-24,-6.2,49.71067857142857,49.55896999999999,49.86976,PASS,PASS,PASS,49.545749999999984,49.87525,0.08063190834190664,0.018180980030681332,0.006559163656224391,0.004110086151423802,0.005070469743655062,0.015002834058010329,-9.554747797179227
3,-23,-5.2,49.72477619047619,49.56642,49.821720000000006,PASS,PASS,PASS,49.54665,49.82175000000001,0.06655986895090792,-0.010173201339144964,0.0047427798744817395,0.11137331010298603,-0.009961364553984565,0.11131930447718164,9.564962478505695
4,-22,-4.2,49.732197619047625,49.632859999999994,49.88408,PASS,PASS,PASS,49.6326,49.89335,0.06682236428807223,-0.025099731204000823,-0.1687218712789156,-0.03217896718545869,-0.14401707874638056,-0.013707654210152147,9.208309497665534
5,-21,-3.2,49.71207857142858,49.55584,49.93786,PASS,PASS,PASS,49.5542,49.96995,0.08705933403637515,0.015365195763580376,-0.01049466184987585,-0.18575584484322907,0.011385857844500498,-0.12153237900499149,-18.287704953008298
6,-20,-2.2,49.725583333333326,49.65414,49.86171,PASS,PASS,PASS,49.6531,49.865,0.06118073294210604,-0.01179658716658421,-0.21009505741790027,0.02466051690850007,-0.18695364704883513,0.031142459097023064,16.87360617712859
7,-19,-1.2,49.71716666666667,49.61071,49.87576000000001,PASS,PASS,PASS,49.59925,49.888450000000006,0.06038520583167261,0.005131639677226108,-0.10141476114551501,-0.022354858823554317,-0.09932511502932163,0.002973299867422984,17.954490578125174
8,-18,-0.2,49.730942857142864,49.55771,49.88306,PASS,PASS,PASS,49.54615,49.8961,0.07760447681305964,-0.02257606061087672,0.0057518819754371325,-0.03769249738857498,0.007612766551012151,-0.01166263339776099,-5.4413700483893646
9,-17,0.8,49.72481190476191,49.63362,49.904939999999996,PASS,PASS,PASS,49.6331,49.90965,0.07274117284035543,-0.010245032570450747,-0.16973097337987098,-0.06485916438939934,-0.1455505276143387,-0.05553033474604101,1.1664115500739245
10,-16,1.8,49.698304761904765,49.55578,49.84512,PASS,PASS,PASS,49.55335,49.8557,0.0674756621026461,0.04306810730292948,-0.008779188278260288,0.04330627359541615,0.011506919597242711,0.06440412113395796,8.320672347759563
11,-15,2.8,49.72115714285714,49.62893000000001,49.83645999999999,PASS,PASS,PASS,49.62850000000002,49.84494999999998,0.05285345609729044,-0.0028943032337209185,-0.1604472340511617,0.06485916438945634,-0.13608753394243944,0.08176674881571097,28.187895189148904
12,-14,3.8,49.76459761904762,49.656819999999996,49.92094,PASS,PASS,PASS,49.6538,49.9333,0.0792376890693271,-0.09026502424243514,-0.21150780035922062,-0.11227552413622505,-0.19236107200421432,-0.08760909258757876,-7.660419064021442
13,-13,4.8,49.730473809523815,49.64668,49.86833,PASS,PASS,PASS,49.64085,49.8763,0.05622785257114157,-0.021632677106422683,-0.18537205594460787,0.0020049200738708286,-0.17190163579244336,0.017869873040095113,23.603095421135496
14,-12,5.8,49.7439380952381,49.63899,49.88065999999999,PASS,PASS,PASS,49.6378,49.88674999999999,0.0672485481344427,-0.048713051307802624,-0.1792165331288058,-0.018946494697962515,-0.15638555448389224,-0.006850819721514655,8.62925258627054
15,-11,6.8,49.78826904761905,49.701370000000004,49.90409,PASS,PASS,PASS,49.700050000000005,49.91175,0.058169973947454594,-0.13787476435033627,-0.3048497446971642,-0.0690694965445053,-0.28224942340808185,-0.0538261507357103,20.96433091774222
