,pwr,psd,mean,1stptile,99thptile,meantest,1stptiletest,99ptiletest,min,max,std,meanerror,minerror,maxerror,ptile1sterror,ptile99therror,stderror
0,Baseline,Baseline,3.881023534482759,3.650679450000001,4.278654549999998,N/A,N/A,N/A,3.6504600000000025,4.285029999999999,0.15902722264753877,N/A,N/A,N/A,N/A,N/A,N/A
1,-25,-7.2,3.9171016666666665,3.7320900000000035,4.194071,FAIL,FAIL,FAIL,3.721125000000004,4.204940000000001,0.1318908700150742,-0.9296035404927258,-1.9357834355122714,1.8690650940599824,-2.230010909339147,1.9768726129104741,17.06396689867899
2,-24,-6.2,3.889967142857143,3.6546030000000007,4.174827,PASS,FAIL,FAIL,3.645240000000001,4.181004999999999,0.16175530126221083,-0.23044457975893415,0.14299567725714926,2.427637612805513,-0.1074745140935248,2.426640168928767,-1.715479003691372
3,-23,-5.2,3.8903033333333332,3.66723,4.103283999999999,PASS,FAIL,FAIL,3.66234,4.111819999999998,0.1359649848429121,-0.2391069976289426,-0.325438437895428,4.042212073194377,-0.45335533362149716,4.098731223814258,14.502069155631817
4,-22,-4.2,4.131637142857143,3.8387189999999993,4.577060000000001,FAIL,PASS,FAIL,3.83689,4.609670000000001,0.20512955089754534,-6.457410168933286,-5.107027607479531,-7.576142990830924,-5.150809666403283,-6.974282371078624,-28.990211538929927
5,-21,-3.2,4.208239285714286,3.7300209999999985,5.306236000000002,FAIL,FAIL,FAIL,3.7109099999999984,5.449580000000001,0.3753448363281618,-8.431171527928818,-1.6559556877762214,-27.177172621895345,-2.173336527807102,-24.01646213761297,-136.02552448523878
6,-20,-2.2,5.07457119047619,3.8694359999999994,6.9139040000000005,FAIL,PASS,FAIL,3.829274999999999,7.01502,0.8654237008409593,-30.753424847564105,-4.898423760293127,-63.709939020263604,-5.992214682118922,-61.59061030061434,-444.19846264878055
7,-19,-1.2,,,,PASS,PASS,PASS,,,,,,,,,
8,-18,-0.2,,,,PASS,PASS,PASS,,,,,,,,,
9,-17,0.8,,,,PASS,PASS,PASS,,,,,,,,,
10,-16,1.8,,,,PASS,PASS,PASS,,,,,,,,,
11,-15,2.8,,,,PASS,PASS,PASS,,,,,,,,,
12,-14,3.8,,,,PASS,PASS,PASS,,,,,,,,,
13,-13,4.8,,,,PASS,PASS,PASS,,,,,,,,,
14,-12,5.8,,,,PASS,PASS,PASS,,,,,,,,,
15,-11,6.8,,,,PASS,PASS,PASS,,,,,,,,,
