,freq,alt,fail,mean,1stptile,99thptile,lastgood,limit
0,4080.0,5.0,-7.2,,*,*,-8.2,N/A
1,4080.0,50.0,NF,,,,6.8,N/A
2,4080.0,100.0,NF,,,,6.8,N/A
3,4080.0,200.0,NF,,,,6.8,N/A
4,4090.0,5.0,-7.2,*,*,*,-8.2,N/A
5,4090.0,50.0,NF,,,,6.8,N/A
6,4090.0,100.0,NF,,,,6.8,N/A
7,4090.0,200.0,NF,,,,6.8,N/A
8,4100.0,5.0,-7.2,,*,*,-8.2,N/A
9,4100.0,50.0,NF,,,,6.8,N/A
10,4100.0,100.0,NF,,,,6.8,N/A
11,4100.0,200.0,NF,,,,6.8,N/A
12,4110.0,5.0,-7.2,*,*,*,-8.2,N/A
13,4110.0,50.0,NF,,,,6.8,N/A
14,4110.0,100.0,NF,,,,6.8,N/A
15,4110.0,200.0,NF,,,,6.8,N/A
16,4120.0,5.0,-7.2,*,*,*,-8.2,N/A
17,4120.0,50.0,6.8,*,,*,5.8,N/A
18,4120.0,100.0,NF,,,,6.8,N/A
19,4120.0,200.0,NF,,,,6.8,N/A
20,4130.0,5.0,-7.2,*,*,*,-8.2,N/A
21,4130.0,50.0,2.8,*,,,1.7999999999999998,N/A
22,4130.0,100.0,5.8,*,,,4.8,N/A
23,4130.0,200.0,6.8,*,,,5.8,N/A
24,4140.0,5.0,-7.2,*,*,*,-8.2,N/A
25,4140.0,50.0,1.8,*,,*,0.8,N/A
26,4140.0,100.0,3.8,*,,*,2.8,N/A
27,4140.0,200.0,4.8,*,,,3.8,N/A
