,alt,fail,mean,1stptile,99thptile,lastgood,limit
0,50.0,NF,,,,6.8,N/A
1,100.0,NF,,,,6.8,N/A
2,200.0,NF,,,,6.8,N/A
3,500.0,NF,,,,6.8,N/A
4,1000.0,NF,,,,6.8,N/A
5,2000.0,NF,,,,6.8,N/A
6,2500.0,NF,,,,6.8,N/A
