,alt,fail,mean,1stptile,99thptile,lastgood,limit
0,50.0,-7.2,*,,,-8.2,N/A
1,100.0,5.8,*,,,4.8,N/A
2,200.0,6.8,*,,,5.8,N/A
3,500.0,1.8,*,,,0.8,N/A
4,1000.0,0.8,*,,,-0.19999999999999996,N/A
5,2000.0,-1.2,*,,,-2.2,N/A
6,2500.0,-0.2,*,,,-1.2,N/A
