time,rfon,pwr,alt
5.016275882720947 ,0, -35 , 1994.4266666666663
5.604062080383301 ,0, -35 , 1998.0733333333333
6.572272539138794 ,0, -35 , 1991.5966666666668
7.537520170211792 ,0, -35 , 1994.9233333333332
8.503464698791504 ,0, -35 , 1995.8833333333334
9.46964430809021 ,0, -35 , 1992.1033333333332
10.436346054077148 ,0, -35 , 1994.583333333333
11.402291774749756 ,0, -35 , 1997.663333333333
12.36915135383606 ,0, -35 , 1994.6566666666665
13.337185621261597 ,0, -35 , 1993.73
14.302305936813354 ,0, -35 , 1996.0199999999998
15.268829107284546 ,0, -35 , 1994.4466666666667
16.23556876182556 ,0, -35 , 1993.7966666666664
17.203665494918823 ,0, -35 , 1995.5533333333328
18.16823124885559 ,0, -35 , 1994.23
19.134561777114868 ,0, -35 , 1991.5466666666664
20.102046728134155 ,0, -35 , 1994.6099999999997
21.069650173187256 ,0, -35 , 1995.7466666666667
22.03465509414673 ,0, -35 , 1992.3033333333333
23.000601530075073 ,0, -35 , 1992.2466666666664
23.968785047531128 ,0, -35 , 1994.7066666666665
24.937323570251465 ,0, -35 , 1991.2233333333334
25.900558710098267 ,0, -35 , 1992.9433333333336
26.86808705329895 ,0, -35 , 1997.5999999999997
27.83357548713684 ,0, -35 , 1995.0866666666666
28.800499439239502 ,0, -35 , 1992.5666666666668
29.765868425369263 ,0, -35 , 1997.1233333333334
30.73346185684204 ,0, -35 , 1997.2766666666669
31.699260711669922 ,0, -35 , 1993.37
32.66589832305908 ,0, -35 , 1994.84
33.63312649726868 ,0, -35 , 1997.1866666666667
34.5984308719635 ,0, -35 , 1995.1166666666668
35.564847230911255 ,0, -35 , 1993.79
36.5319766998291 ,0, -35 , 1994.646666666667
37.4990668296814 ,0, -35 , 1990.2299999999998
38.46468997001648 ,0, -35 , 1993.4333333333332
39.430991888046265 ,0, -35 , 1994.9666666666665
40.39738965034485 ,0, -35 , 1993.3299999999997
41.365591049194336 ,0, -35 , 1992.5799999999995
42.33117651939392 ,0, -35 , 1995.3200000000002
43.297444343566895 ,0, -35 , 1994.7433333333333
44.26359224319458 ,0, -35 , 1990.4633333333331
45.23002648353577 ,0, -35 , 1994.0766666666666
46.1968412399292 ,0, -35 , 1992.4633333333331
47.16281223297119 ,0, -35 , 1990.1699999999998
48.12979507446289 ,0, -35 , 1995.9300000000003
49.096224308013916 ,0, -35 , 1995.1999999999998
50.06283140182495 ,0, -35 , 1992.4966666666667
51.02928376197815 ,0, -35 , 1994.5533333333335
51.995402574539185 ,0, -35 , 1996.5733333333333
52.96183633804321 ,0, -35 , 1993.8899999999996
53.928086280822754 ,0, -35 , 1991.2133333333334
54.899086475372314 ,0, -35 , 1998.03
55.8606972694397 ,0, -35 , 1991.43
56.827515602111816 ,0, -35 , 1992.1166666666668
57.795512437820435 ,0, -35 , 1995.29
58.76048922538757 ,0, -35 , 1994.4633333333334
59.72657012939453 ,0, -35 , 1993.9133333333334
62.715200662612915 ,1, -25 , 1991.9633333333334
63.59260845184326 ,1, -25 , 1994.2699999999995
64.55897974967957 ,1, -25 , 1994.7499999999998
65.52561330795288 ,1, -25 , 1992.2999999999995
66.49220252037048 ,1, -25 , 1993.7499999999998
67.45902872085571 ,1, -25 , 1999.0766666666666
68.42554998397827 ,1, -25 , 1992.5266666666666
69.39274072647095 ,1, -25 , 1991.9666666666665
70.35863733291626 ,1, -25 , 1997.8299999999997
71.32466411590576 ,1, -25 , 1993.7133333333331
72.2917652130127 ,1, -25 , 1991.4166666666665
73.25760960578918 ,1, -25 , 1994.9
74.22407603263855 ,1, -25 , 1994.51
75.19059538841248 ,1, -25 , 1992.9733333333336
76.15868806838989 ,1, -25 , 1995.3733333333332
77.1234028339386 ,1, -25 , 1995.9699999999998
78.08996057510376 ,1, -25 , 1993.3033333333335
79.05627727508545 ,1, -25 , 1994.9633333333334
80.02243757247925 ,1, -25 , 1997.303333333333
80.98926782608032 ,1, -25 , 1993.2333333333331
81.95574450492859 ,1, -25 , 1993.6099999999997
82.92767262458801 ,0, -35 , 1997.8433333333332
83.40554618835449 ,0, -35 , 1992.5566666666666
83.88897728919983 ,0, -35 , 1994.6333333333334
84.37372922897339 ,0, -35 , 1995.1866666666665
84.8553454875946 ,0, -35 , 1994.6666666666665
85.33843064308167 ,0, -35 , 1992.6866666666665
85.82174324989319 ,0, -35 , 1994.043333333333
86.30533814430237 ,0, -35 , 1988.72
86.78824043273926 ,0, -35 , 1992.8299999999997
87.27289390563965 ,0, -35 , 1996.5900000000001
87.75460696220398 ,0, -35 , 1990.3966666666665
88.23800420761108 ,0, -35 , 1990.9199999999998
88.72077560424805 ,0, -35 , 1995.263333333333
89.20458221435547 ,0, -35 , 1991.063333333333
89.68902206420898 ,0, -35 , 1996.2633333333333
90.1708254814148 ,0, -35 , 1996.79
90.65450859069824 ,0, -35 , 1991.9066666666663
91.13773989677429 ,0, -35 , 1996.7099999999996
91.62079191207886 ,0, -35 , 1993.8366666666666
92.1039559841156 ,0, -35 , 1991.1699999999996
92.58880424499512 ,0, -35 , 1996.4899999999996
95.09120011329651 ,1, -24 , 1993.0466666666664
95.9700677394867 ,1, -24 , 1996.2433333333333
96.9365348815918 ,1, -24 , 1997.2133333333336
97.90364360809326 ,1, -24 , 1993.4533333333331
98.87113094329834 ,1, -24 , 1993.1699999999998
99.8365466594696 ,1, -24 , 1998.9633333333334
100.80229449272156 ,1, -24 , 1995.5566666666666
101.76989912986755 ,1, -24 , 1991.5066666666667
102.73529505729675 ,1, -24 , 1998.9299999999996
