,alt,fail,mean,1stptile,99thptile,lastgood,limit
0,50.0,-24.2,*,,*,-25.2,N/A
1,100.0,-20.2,*,,*,-21.2,N/A
2,200.0,-19.2,*,,*,-20.2,N/A
3,500.0,-23.2,*,,,-24.2,N/A
4,1000.0,-25.2,*,,,-26.2,N/A
5,2000.0,-26.2,*,,,-27.2,N/A
6,2500.0,-26.2,*,,,-27.2,N/A
