time,rfon,pwr,alt
2.0248029232025146 ,0, -45 , 45.94055
2.2528345584869385 ,0, -45 , 45.59700000000001
2.73355770111084 ,0, -45 , 45.65885
3.2176952362060547 ,0, -45 , 45.78235000000001
3.6991958618164062 ,0, -45 , 45.83945
4.182891845703125 ,0, -45 , 45.46549999999999
4.666072845458984 ,0, -45 , 45.894800000000004
5.1495139598846436 ,0, -45 , 45.930350000000004
5.63201117515564 ,0, -45 , 45.801950000000005
6.115756511688232 ,0, -45 , 45.83734999999999
6.599307060241699 ,0, -45 , 45.84375
7.08409571647644 ,0, -45 , 45.66015
7.565073013305664 ,0, -45 , 45.84725
8.048506736755371 ,0, -45 , 45.7214
8.533011198043823 ,0, -45 , 45.80454999999999
9.015002489089966 ,0, -45 , 45.73379999999999
9.498065710067749 ,0, -45 , 45.9083
9.98272705078125 ,0, -45 , 45.93050000000001
10.465096712112427 ,0, -45 , 45.4431
10.94778561592102 ,0, -45 , 45.575649999999996
11.432160377502441 ,0, -45 , 45.839349999999996
11.913830518722534 ,0, -45 , 45.55510000000001
12.397717475891113 ,0, -45 , 45.74615
12.880739450454712 ,0, -45 , 45.71395
13.36420202255249 ,0, -45 , 45.74294999999999
13.848669052124023 ,0, -45 , 45.806200000000004
14.330034255981445 ,0, -45 , 45.80345
14.813640356063843 ,0, -45 , 45.837149999999994
15.298306941986084 ,0, -45 , 45.8261
15.779863357543945 ,0, -45 , 45.36024999999999
16.262688875198364 ,0, -45 , 45.77120000000001
16.747525215148926 ,0, -45 , 45.894099999999995
17.230003595352173 ,0, -45 , 45.913799999999995
17.712627172470093 ,0, -45 , 45.7508
18.19693875312805 ,0, -45 , 45.73225000000001
18.67919898033142 ,0, -45 , 45.6631
19.16303586959839 ,0, -45 , 45.57294999999999
19.646105766296387 ,0, -45 , 45.91550000000001
20.13228940963745 ,0, -45 , 45.55714999999999
20.612502098083496 ,0, -45 , 45.62495
21.09878706932068 ,0, -45 , 45.80850000000001
21.5788836479187 ,0, -45 , 45.752449999999996
22.061756134033203 ,0, -45 , 45.68199999999999
22.544790744781494 ,0, -45 , 45.646550000000005
23.02787208557129 ,0, -45 , 45.72985000000001
23.513282299041748 ,0, -45 , 45.68894999999999
23.99499487876892 ,0, -45 , 45.80584999999999
24.478079080581665 ,0, -45 , 45.84894999999999
24.962852239608765 ,0, -45 , 45.52244999999999
25.444164752960205 ,0, -45 , 45.81455
25.92804503440857 ,0, -45 , 45.915350000000004
26.41215443611145 ,0, -45 , 45.77239999999999
26.894190549850464 ,0, -45 , 45.92805
27.377004623413086 ,0, -45 , 45.76049999999999
27.861114263534546 ,0, -45 , 45.592650000000006
28.34406805038452 ,0, -45 , 45.54069999999999
28.826911211013794 ,0, -45 , 45.8074
29.31007480621338 ,0, -45 , 45.6828
29.793387174606323 ,0, -45 , 45.7731
30.276305675506592 ,0, -45 , 45.615750000000006
30.7594735622406 ,0, -45 , 45.61865
31.24264407157898 ,0, -45 , 45.68535
31.727638721466064 ,0, -45 , 45.58659999999999
32.20949983596802 ,0, -45 , 45.64775
32.69277739524841 ,0, -45 , 45.64115000000001
33.175405502319336 ,0, -45 , 45.62875
33.659425497055054 ,0, -45 , 45.64155000000001
34.14340019226074 ,0, -45 , 45.8878
34.62573003768921 ,0, -45 , 45.6947
35.112163066864014 ,0, -45 , 45.708
35.593059062957764 ,0, -45 , 45.923649999999995
